name,nick1,nick2,nick3,nick4,nick5,,,,,,
Cyril,Cy,,,,,,,,,,
,,,,,,,,,,,
Cyrus,Cy,,,,,,,,,,
,,,,,,,,,,,
Dale,,,,,,,,,,,
,,,,,,,,,,,
Daniel,Dan, Danny,,,,,,,,,
,,,,,,,,,,,
Darrell, Darrel, Darryl, Daryl,Darry,,,,,,,
,,,,,,,,,,,
David,Dave, Davie, Davy,,,,,,,,
,,,,,,,,,,,
Dean, Deane,,,,,,,,,,
,,,,,,,,,,,
Dennis, Denis,Den, Denny,,,,,,,,
,,,,,,,,,,,
Derek, Derrick,Derry, Rick, Ricky,,,,,,,
,,,,,,,,,,,
Dexter,Dex,,,,,,,,,,
,,,,,,,,,,,
Dominic, Dominick, Dominique,Dom, Nick,,,,,,,
,,,,,,,,,,,
Donald,Don, Donnie, Donny,,,,,,,,
,,,,,,,,,,,
Douglas, Douglass,Doug,,,,,,,,,
,,,,,,,,,,,
Doyle,,,,,,,,,,,
,,,,,,,,,,,
Drew,,,,,,,,,,,
,,,,,,,,,,,
Duane, Dwayne,,,,,,,,,,
,,,,,,,,,,,
Dudley,,,,,,,,,,,
,,,,,,,,,,,
Duncan,,,,,,,,,,,
,,,,,,,,,,,
Dustin,Dusty,,,,,,,,,,
,,,,,,,,,,,
Dwight,,,,,,,,,,,
,,,,,,,,,,,
Dylan,,,,,,,,,,,
,,,,,,,,,,,
Earl, Earle,,,,,,,,,,
,,,,,,,,,,,
Edgar,Ed, Eddie, Eddy, Ned,,,,,,,
,,,,,,,,,,,
Edward,Ed, Eddie, Eddy, Ned, Ted, Teddy,,,,,
,,,,,,,,,,,
Edwin,Ed, Eddie, Eddy, Ned,,,,,,,
,,,,,,,,,,,
Elbert,Bert, Bertie,,,,,,,,,
,,,,,,,,,,,
Elijah,Eli, Lige,,,,,,,,,
,,,,,,,,,,,
Elliot, Elliott,El,,,,,,,,,
,,,,,,,,,,,
Elmer,El,,,,,,,,,,
,,,,,,,,,,,
Elvin, Elwin, Elwyn,El, Vin, Win,,,,,,
,,,,,,,,,,,
Elwood,El, Woody,,,,,,,,,
,,,,,,,,,,,
Emery, Emmery, Emory,Em,,,,,,,,
,,,,,,,,,,,
Emil, Emile,Em,,,,,,,,,
,,,,,,,,,,,
Emmanuel, Emanuel, Immanuel, Manuel,Manny, Mannie,,,,,,
,,,,,,,,,,,
Eric, Erik, Erick,Rick, Ricky,,,,,,,
,,,,,,,,,,,
Ernest, Earnest,Ernie,,,,,,,,,
,,,,,,,,,,,
Ervin, Erwin, Irvin, Irvine, Irving, Irwin,Erv, Vin, Win,,,
,,,,,,,,,,,
Ethan,,,,,,,,,,,
,,,,,,,,,,,
Eugene,Gene,,,,,,,,,,
,,,,,,,,,,,
Eustace,Stacy, Stacey,,,,,,,,,
,,,,,,,,,,,
Everett, Everette,,,,,,,,,,
,,,,,,,,,,,
Fabian,Fabe, Fab,,,,,,,,,
,,,,,,,,,,,
Felix,,,,,,,,,,,
,,,,,,,,,,,
Ferdinand,Ferdie, Fred, Freddie,,,,,,,,
,,,,,,,,,,,
Fernando,Ferdie, Fern,,,,,,,,,
,,,,,,,,,,,
Floyd,Floy (see Lloyd),,,,,,,,,,
,,,,,,,,,,,
Francis,Frank, Frankie, Franky, Fran,,,,,,,
,,,,,,,,,,,
Francisco,Frank, Frankie, Franky, Fran,,,,,,,
,,,,,,,,,,,
Franklin, Franklyn,Frank, Frankie, Franky,,,,,,,
,,,,,,,,,,,
Frederick, Frederic, Fredrick, Fredric,Fred, Freddie, Freddy, Rick, Ricky,,,
,,,,,,,,,,,
Fred, Freddie ,,,,,,,,,,
,,,,,,,,,,,
Gabriel,Gabe, Gabby,,,,,,,,,
,,,,,,,,,,,
Garrett, Garret,Gary, Garry,,,,,,,,
,,,,,,,,,,,
Geoffrey, Jeffrey,Jeff,,,,,,,,,
,,,,,,,,,,,
George,Georgie, Geordie,,,,,,,,,
,,,,,,,,,,,
Gerald, Gerard,Gerry, Jerry,,,,,,,,
,,,,,,,,,,,
Gilbert,Gil, Bert,,,,,,,,,
,,,,,,,,,,,
Glenn, Glen,,,,,,,,,,
,,,,,,,,,,,
Graham,,,,,,,,,,,
,,,,,,,,,,,
Grant,,,,,,,,,,,
,,,,,,,,,,,
Gregory, Gregor,Greg, Gregg,,,,,,,,
,,,,,,,,,,,
Griffith, Griffin,Griff,,,,,,,,,
,,,,,,,,,,,
Harold,Hal, Harry,,,,,,,,,
,,,,,,,,,,,
Harvey,Harve,,,,,,,,,,
,,,,,,,,,,,
Henry,Harry, Hank,,,,,,,,,
,,,,,,,,,,,
Herbert,Herb, Bert, Bertie,,,,,,,,
,,,,,,,,,,,
Herman,Manny, Mannie,,,,,,,,,
,,,,,,,,,,,
Howard,Howie,,,,,,,,,,
,,,,,,,,,,,
Hubert,Hugh, Bert, Bertie,,,,,,,,
,,,,,,,,,,,
Hugh,Hughie, Hugo,,,,,,,,,
,,,,,,,,,,,
Ian,,,,,,,,,,,
,,,,,,,,,,,
Immanuel,Manny, Mannie ,,,,,,,,,
,,,,,,,,,,,
Irvin, Irvine, Irving, Irwin (see Ervin),,,,,,,,
,,,,,,,,,,,
Isaac, Isaak,Ike,,,,,,,,,
,,,,,,,,,,,
Isidore, Isidor, Isadore, Isador,Izzy,,,,,,,
,,,,,,,,,,,
Jack,Jackie, Jacky ,,,,,,,,,
,,,,,,,,,,,
Jacob,Jake,,,,,,,,,,
,,,,,,,,,,,
James,Jim, Jimmy, Jimmie, Jamie, Jem,,,,,,
,,,,,,,,,,,
Jason,Jay,,,,,,,,,,
,,,,,,,,,,,
Jasper,Jay,,,,,,,,,,
,,,,,,,,,,,
Jeffrey, Jeffery, Geoffrey,Jeff,,,,,,,,
,,,,,,,,,,,
Jeremy, Jeremiah,Jerry,,,,,,,,,
,,,,,,,,,,,
Jerome,Jerry,,,,,,,,,,
,,,,,,,,,,,
Jesse,Jess, Jessie, Jessy,,,,,,,,
,,,,,,,,,,,
John,Jack, Jackie, Jacky, Johnny,,,,,,,
,,,,,,,,,,,
Jonathan,Jon, Jonny,,,,,,,,,
,,,,,,,,,,,
Joseph,Joe, Joey, Jo, Jos, Jody,,,,,,
,,,,,,,,,,,
Joshua,Josh,,,,,,,,,,
,,,,,,,,,,,
Julian, Julius,Jule, Jules,,,,,,,,
,,,,,,,,,,,
Justin,,,,,,,,,,,
,,,,,,,,,,,
Karl, Carl,,,,,,,,,,
,,,,,,,,,,,
Keith,,,,,,,,,,,
,,,,,,,,,,,
Kelly, Kelley,,,,,,,,,,
,,,,,,,,,,,
Kelvin,Kel, Kelly,,,,,,,,,
,,,,,,,,,,,
Kendall,Ken, Kenny,,,,,,,,,
,,,,,,,,,,,
Kendrick,Ken, Kenny, Rick, Ricky,,,,,,,
,,,,,,,,,,,
Kenneth,Ken, Kenny,,,,,,,,,
,,,,,,,,,,,
Kent,Ken, Kenny,,,,,,,,,
,,,,,,,,,,,
Kevin,Kev,,,,,,,,,,
,,,,,,,,,,,
Kristopher,Kris, Kit, Kester ,,,,,,,,
,,,,,,,,,,,
Kurtis, Curtis,Kurt, Curt,,,,,,,,
,,,,,,,,,,,
Kyle,,,,,,,,,,,
,,,,,,,,,,,
Lamont,Monty, Monte,,,,,,,,,
,,,,,,,,,,,
Lancelot, Launcelot,Lance,,,,,,,,,
,,,,,,,,,,,
Laurence, Lawrence, Lorence, Lorenzo, Loren, Lauren,Larry, Lars, Laurie, Lawrie,,
,,,,,,,,,,,
Lee, Leigh,,,,,,,,,,
,,,,,,,,,,,
Leo, Leon,Lee,,,,,,,,,
,,,,,,,,,,,
Leonard,Leo, Leon, Len, Lenny, Lennie,,,,,,
,,,,,,,,,,,
Leopold,Leo, Poldie,,,,,,,,,
,,,,,,,,,,,
Leroy,Lee, Roy,,,,,,,,,
,,,,,,,,,,,
Leslie, Lesley,Les,,,,,,,,,
,,,,,,,,,,,
Lester,Les,,,,,,,,,,
,,,,,,,,,,,
Lewis,Lew, Lewie,,,,,,,,,
,,,,,,,,,,,
Lincoln,Lin, Linc, Lynn,,,,,,,,
,,,,,,,,,,,
Lionel,Leo, Leon,,,,,,,,,
,,,,,,,,,,,
Lloyd, Loyd, Loyde, Floyd,Loy, Floy,,,,,,
,,,,,,,,,,,
Louis, Luis,Lou, Louie,,,,,,,,
,,,,,,,,,,,
Luke, Lucas,Luke,,,,,,,,,
,,,,,,,,,,,
Lyle, Lyall,,,,,,,,,,
,,,,,,,,,,,
Lynn,,,,,,,,,,,
,,,,,,,,,,,
Malcolm,Mal, Malc, Mac,,,,,,,,
,,,,,,,,,,,
Manuel,Manny, Mannie ,,,,,,,,,
,,,,,,,,,,,
Mark, Marc, Marcus, Markus,Mark, Marc,,,,,,
,,,,,,,,,,,
Martin,Mart, Marty,,,,,,,,,
,,,,,,,,,,,
Marvin, Mervin,Marv, Merv,,,,,,,,
,,,,,,,,,,,
Matthew,Matt, Mat, Matty, Mattie,,,,,,,
,,,,,,,,,,,
Maximilian,Max,,,,,,,,,,
,,,,,,,,,,,
Melvin,Mel,,,,,,,,,,
,,,,,,,,,,,
Michael,Mike, Mickey,,,,,,,,,
,,,,,,,,,,,
Miles, Myles,,,,,,,,,,
,,,,,,,,,,,
Milton,Milt,,,,,,,,,,
,,,,,,,,,,,
Mitchell,Mitch,,,,,,,,,,
,,,,,,,,,,,
Montague,Monty, Monte,,,,,,,,,
,,,,,,,,,,,
Montgomery,Monty, Monte,,,,,,,,,
,,,,,,,,,,,
Morris, Maurice,Morry,,,,,,,,,
,,,,,,,,,,,
Mortimer,Mort, Morty,,,,,,,,,
,,,,,,,,,,,
Moses,Mo, Moe, Mose, Moss,,,,,,,
,,,,,,,,,,,
Nathan, Nathaniel,Nat, Nate,,,,,,,,
,,,,,,,,,,,
Neal, Neil,,,,,,,,,,
,,,,,,,,,,,
Nelson,,,,,,,,,,,
,,,,,,,,,,,
Neville, Nevil, Nevill,,,,,,,,,
,,,,,,,,,,,
Nicholas, Nicolas,Nick, Nicky, Nicol, Cole,,,,,,
,,,,,,,,,,,
Nigel,,,,,,,,,,,
,,,,,,,,,,,
Noah,,,,,,,,,,,
,,,,,,,,,,,
Noel, Nowell,,,,,,,,,,
,,,,,,,,,,,
Norbert,Bert, Norby,,,,,,,,,
,,,,,,,,,,,
Norris,,,,,,,,,,,
